Pick,V,L,U,V_L_U
43,17.177971178808928,15.776513284694417,18.5787694066048,"17.18 (15.78, 18.58)"
44,16.92362315599879,15.545756963951174,18.303908443868423,"16.92 (15.55, 18.30)"
45,16.704757510120672,15.34689217733412,18.07029884880412,"16.70 (15.35, 18.07)"
46,16.515515578233323,15.177112636505043,17.8589585774055,"16.52 (15.18, 17.86)"
47,16.35003869739549,15.036626563387697,17.67764702098281,"16.35 (15.04, 17.68)"
48,16.202468204665916,14.90638728723821,17.51016458863085,"16.20 (14.91, 17.51)"
49,16.066945437103353,14.789975772483428,17.349336470945072,"16.07 (14.79, 17.35)"
50,15.937611731766541,14.685284072064192,17.197775543764642,"15.94 (14.69, 17.20)"
51,15.809587860417398,14.573643200468437,17.052917873448234,"15.81 (14.57, 17.05)"
52,15.681912333630471,14.458825464882574,16.915362202406147,"15.68 (14.46, 16.92)"
53,15.55460309668349,14.343598360865649,16.77421861082394,"15.55 (14.34, 16.77)"
54,15.427678094854166,14.228809804935018,16.637382406915687,"15.43 (14.23, 16.64)"
55,15.30115527342022,14.11146548201285,16.490101805810323,"15.30 (14.11, 16.49)"
56,15.175052577659375,13.99462450745182,16.350208363801194,"15.18 (13.99, 16.35)"
57,15.049387952849349,13.874394420411909,16.211119610979164,"15.05 (13.87, 16.21)"
58,14.92417934426786,13.762938678376045,16.07151821009842,"14.92 (13.76, 16.07)"
59,14.799444697192627,13.652558374307741,15.941912039498291,"14.80 (13.65, 15.94)"
60,14.675201956901368,13.536459400941148,15.811730509310397,"14.68 (13.54, 15.81)"
61,14.55146906867181,13.423240470314328,15.67346327039616,"14.55 (13.42, 15.67)"
62,14.428263977781663,13.304063937765818,15.544727610848385,"14.43 (13.30, 15.54)"
63,14.305604629508652,13.188351982536993,15.415185778271134,"14.31 (13.19, 15.42)"
64,14.183508969130497,13.077490641622866,15.27939816514651,"14.18 (13.08, 15.28)"
65,14.061994941924912,12.96476000167431,15.148376668964877,"14.06 (12.96, 15.15)"
66,13.941080493169618,12.85030519967374,15.0158063488296,"13.94 (12.85, 15.02)"
67,13.820783568142337,12.735954736906633,14.883041205988446,"13.82 (12.74, 14.88)"
68,13.70112211212079,12.62240343372843,14.756582368069036,"13.70 (12.62, 14.76)"
69,13.582114070382696,12.513773785477564,14.628403830901625,"13.58 (12.51, 14.63)"
70,13.463777388205772,12.405717193520326,14.503330432003501,"13.46 (12.41, 14.50)"
71,13.34613001086773,12.290985792104905,14.378501137442775,"13.35 (12.29, 14.38)"
72,13.229189883646303,12.180388538325692,14.25703317534657,"13.23 (12.18, 14.26)"
73,13.112974951819204,12.06499271109744,14.13462275812234,"13.11 (12.06, 14.13)"
74,12.997503160664156,11.955133639381753,14.014128639979749,"13.00 (11.96, 14.01)"
75,12.882792455458869,11.844844706983716,13.89099207281722,"12.88 (11.84, 13.89)"
76,12.768860781481074,11.737850538017197,13.774271544567458,"12.77 (11.74, 13.77)"
77,12.655726084008483,11.633418126673954,13.659759824873259,"12.66 (11.63, 13.66)"
78,12.543406308318815,11.53182628632323,13.541464394821563,"12.54 (11.53, 13.54)"
79,12.431919399689795,11.429136051428086,13.426677725331686,"12.43 (11.43, 13.43)"
80,12.321283303399142,11.324130842999672,13.310518906133726,"12.32 (11.32, 13.31)"
81,12.211515964724569,11.217042900135656,13.192740164475113,"12.21 (11.22, 13.19)"
82,12.102635328943798,11.110819267065448,13.079010981599238,"12.10 (11.11, 13.08)"
83,11.994659341334552,11.005878639761047,12.963847487668234,"11.99 (11.01, 12.96)"
84,11.887605947174547,10.905192128406123,12.855675011168172,"11.89 (10.91, 12.86)"
85,11.7814930917415,10.802723194477709,12.742764438547331,"11.78 (10.80, 12.74)"
86,11.67633872031314,10.704754354251468,12.64168721265369,"11.68 (10.70, 12.64)"
87,11.572160778167175,10.608815137015135,12.532647855818931,"11.57 (10.61, 12.53)"
88,11.468977210581329,10.508520890724444,12.42901330507395,"11.47 (10.51, 12.43)"
89,11.36680596283333,10.411307369795372,12.320552842368224,"11.37 (10.41, 12.32)"
90,11.265664980200883,10.31019336460201,12.211474890375912,"11.27 (10.31, 12.21)"
91,11.165572207961716,10.213083185461725,12.109714690732945,"11.17 (10.21, 12.11)"
92,11.066545591393544,10.115705510721588,12.009863176723751,"11.07 (10.12, 12.01)"
93,10.968603075774086,10.018223724928825,11.908074749110868,"10.97 (10.02, 11.91)"
94,10.871762606381068,9.92163775069444,11.810627824184508,"10.87 (9.92, 11.81)"
95,10.776042128492204,9.828845211621772,11.711222662707387,"10.78 (9.83, 11.71)"
96,10.681459587385215,9.734953748479098,11.614243039020677,"10.68 (9.73, 11.61)"
97,10.588032928337817,9.642460498073563,11.522183385977433,"10.59 (9.64, 11.52)"
98,10.495780096627737,9.553307633821387,11.429532109669095,"10.50 (9.55, 11.43)"
99,10.404719037532688,9.458623852060466,11.343272858058736,"10.40 (9.46, 11.34)"
100,10.314867696330392,9.36976667341,11.255906264146684,"10.31 (9.37, 11.26)"
101,10.226237962734558,9.277400013200616,11.16619939254395,"10.23 (9.28, 11.17)"
102,10.138817504202878,9.195590190904953,11.079427095405665,"10.14 (9.20, 11.08)"
103,10.052587932629017,9.108938954757354,10.993064436639365,"10.05 (9.11, 10.99)"
104,9.967530859906663,9.026557938213264,10.903880434993951,"9.97 (9.03, 10.90)"
105,9.883627897929482,8.943953848817651,10.818776737600414,"9.88 (8.94, 10.82)"
106,9.80086065859116,8.862695403714069,10.7363165763482,"9.80 (8.86, 10.74)"
107,9.719210753785367,8.78125439633348,10.65156628225476,"9.72 (8.78, 10.65)"
108,9.638659795405779,8.704409204746286,10.568313637990018,"9.64 (8.70, 10.57)"
109,9.55918939534608,8.628015470759433,10.488621567295652,"9.56 (8.63, 10.49)"
110,9.48078116549994,8.555065543893752,10.408446512393128,"9.48 (8.56, 10.41)"
111,9.403416717761038,8.477161992188456,10.327861026129403,"9.40 (8.48, 10.33)"
112,9.327077664023053,8.401270405878519,10.250552019727863,"9.33 (8.40, 10.25)"
113,9.251745616179658,8.328364826027952,10.172275363298636,"9.25 (8.33, 10.17)"
114,9.177402186124528,8.249624797952096,10.098811677074991,"9.18 (8.25, 10.10)"
115,9.104028985751347,8.178646996978262,10.021135935294959,"9.10 (8.18, 10.02)"
116,9.031607626953782,8.112661686943527,9.948759906983462,"9.03 (8.11, 9.95)"
117,8.960119721625519,8.04470329917309,9.87389604737119,"8.96 (8.04, 9.87)"
118,8.889546881660227,7.9776024290383925,9.80188834249899,"8.89 (7.98, 9.80)"
119,8.819870718951586,7.911252784822724,9.732333016581146,"8.82 (7.91, 9.73)"
120,8.751072845393274,7.8467332240907375,9.662375847615984,"8.75 (7.85, 9.66)"
121,8.683134872878965,7.783842553220922,9.591932630863592,"8.68 (7.78, 9.59)"
122,8.61603841330234,7.719672900672064,9.522752022988033,"8.62 (7.72, 9.52)"
123,8.549765078557066,7.652399662791463,9.451837603014985,"8.55 (7.65, 9.45)"
124,8.484296480536827,7.587186560512382,9.386364514736279,"8.48 (7.59, 9.39)"
125,8.419614231135306,7.5241492854511245,9.316698987749206,"8.42 (7.52, 9.32)"
126,8.355699942246165,7.460543542995881,9.256470019709463,"8.36 (7.46, 9.26)"
127,8.292535225763087,7.396086560959642,9.196165527847477,"8.29 (7.40, 9.20)"
128,8.230101693579757,7.336380067486333,9.136542245781914,"8.23 (7.34, 9.14)"
129,8.168380957589836,7.2732175734192905,9.073267551582871,"8.17 (7.27, 9.07)"
130,8.107354629687013,7.215133844983073,9.014279823144326,"8.11 (7.22, 9.01)"
131,8.047004321764959,7.154319784581297,8.955250898705827,"8.05 (7.15, 8.96)"
132,7.987311645717352,7.092621291609997,8.895983392833417,"7.99 (7.09, 8.90)"
133,7.92825821343787,7.036673347776496,8.839724325534288,"7.93 (7.04, 8.84)"
134,7.869825636820184,6.97905964835194,8.786636238302897,"7.87 (6.98, 8.79)"
135,7.811995527757978,6.923498100090577,8.72819029734323,"7.81 (6.92, 8.73)"
136,7.754749498144924,6.865003996240666,8.676210972269317,"7.75 (6.87, 8.68)"
137,7.6980691598746995,6.8036246125692275,8.622211937149737,"7.70 (6.80, 8.62)"
138,7.641936124840983,6.745171897983692,8.57195161530547,"7.64 (6.75, 8.57)"
139,7.586332004937451,6.683411305506291,8.515293468221797,"7.59 (6.68, 8.52)"
140,7.5312384120577756,6.623116685794787,8.462774651184501,"7.53 (6.62, 8.46)"
141,7.476636958095638,6.568722430233583,8.408399441251536,"7.48 (6.57, 8.41)"
142,7.422509254944713,6.51091507622796,8.353942346505994,"7.42 (6.51, 8.35)"
143,7.368836914498679,6.452177804605339,8.300383089977824,"7.37 (6.45, 8.30)"
144,7.315601548651211,6.39620992919171,8.246341059114407,"7.32 (6.40, 8.25)"
145,7.262784769295985,6.337515436459064,8.190508595159386,"7.26 (6.34, 8.19)"
146,7.2103681883266795,6.281237984754136,8.142302330615253,"7.21 (6.28, 8.14)"
147,7.158333417636968,6.227457894506322,8.092312951403507,"7.16 (6.23, 8.09)"
148,7.106662069120531,6.174987894511038,8.043519121157873,"7.11 (6.17, 8.04)"
149,7.055335754671043,6.122941158527806,7.987563295831576,"7.06 (6.12, 7.99)"
150,7.004336086182181,6.0685593892858325,7.938993730961441,"7.00 (6.07, 7.94)"
151,6.953646296688191,6.011018145186424,7.895895212667832,"6.95 (6.01, 7.90)"
152,6.9032561037856075,5.959010454729592,7.85069587860324,"6.90 (5.96, 7.85)"
153,6.853156846211529,5.906452764915988,7.806581736493866,"6.85 (5.91, 7.81)"
154,6.803339862703049,5.853809760136764,7.761960739892162,"6.80 (5.85, 7.76)"
155,6.753796491997279,5.798397731860469,7.711243366492813,"6.75 (5.80, 7.71)"
156,6.704518072831313,5.74712081792178,7.666145679160252,"6.70 (5.75, 7.67)"
157,6.655495943942255,5.698111225423295,7.617474934357848,"6.66 (5.70, 7.62)"
158,6.606721444067201,5.644204094878714,7.571555122615875,"6.61 (5.64, 7.57)"
159,6.558185911943258,5.59212051956997,7.5271066060738985,"6.56 (5.59, 7.53)"
160,6.509880686307521,5.538710363901738,7.4770295941840965,"6.51 (5.54, 7.48)"
161,6.461797105897097,5.489392266106315,7.431114798226364,"6.46 (5.49, 7.43)"
162,6.413926509449078,5.441351380159351,7.388691764413778,"6.41 (5.44, 7.39)"
163,6.3662602357005715,5.384713402432354,7.344305103098536,"6.37 (5.38, 7.34)"
164,6.318789623388676,5.339736701049407,7.3000118181889615,"6.32 (5.34, 7.30)"
165,6.271506011250492,5.291649652590366,7.255859665544741,"6.27 (5.29, 7.26)"
166,6.224400738023121,5.237614461030054,7.213334973146951,"6.22 (5.24, 7.21)"
167,6.177465142443661,5.183876831947826,7.167106398972835,"6.18 (5.18, 7.17)"
168,6.130690563249217,5.131956977394445,7.122523421406731,"6.13 (5.13, 7.12)"
169,6.084068339176886,5.081613026622486,7.083315993015322,"6.08 (5.08, 7.08)"
170,6.03758980896377,5.028792330095617,7.047255355948776,"6.04 (5.03, 7.05)"
171,5.991246311346968,4.97616597042376,7.010347951430593,"5.99 (4.98, 7.01)"
172,5.945029185063586,4.920998980331378,6.971025701061931,"5.95 (4.92, 6.97)"
173,5.898929768850717,4.86683583125175,6.9306699134510215,"5.90 (4.87, 6.93)"
174,5.852939401445469,4.813471366506608,6.891123649711872,"5.85 (4.81, 6.89)"
175,5.807049421584937,4.757697420242978,6.853651670569541,"5.81 (4.76, 6.85)"
176,5.761251168006224,4.703329831113681,6.816635468323517,"5.76 (4.70, 6.82)"
177,5.715535979446431,4.648022545335856,6.777639897400549,"5.72 (4.65, 6.78)"
178,5.669895194642658,4.59405641460674,6.742312795205899,"5.67 (4.59, 6.74)"
179,5.624320152332004,4.534072243220325,6.701989868474869,"5.62 (4.53, 6.70)"
180,5.578802191251573,4.479827520973284,6.669161613235551,"5.58 (4.48, 6.67)"
181,5.533332650138463,4.4305112131292725,6.6324446497565095,"5.53 (4.43, 6.63)"
182,5.487902867729778,4.3729713994084625,6.600022929781654,"5.49 (4.37, 6.60)"
183,5.442504182762615,4.315733769512599,6.563667264407801,"5.44 (4.32, 6.56)"
184,5.397127933974073,4.2576620373433425,6.5280241546637985,"5.40 (4.26, 6.53)"
185,5.35176546010126,4.201257644842082,6.492846710355012,"5.35 (4.20, 6.49)"
186,5.3064080998812715,4.141935216331663,6.458957726056712,"5.31 (4.14, 6.46)"
187,5.2610471920512065,4.082320968799235,6.426650397367365,"5.26 (4.08, 6.43)"
188,5.215674075348169,4.019364505276518,6.389324417265038,"5.22 (4.02, 6.39)"
189,5.170280088509259,3.9586293582373417,6.353236131194029,"5.17 (3.96, 6.35)"
190,5.124856570271577,3.9001665849973994,6.3223647288406335,"5.12 (3.90, 6.32)"
191,5.079394859372224,3.8400139978357535,6.286151729094026,"5.08 (3.84, 6.29)"
192,5.0338862945482985,3.7843753769815343,6.257429196531822,"5.03 (3.78, 6.26)"
193,4.988322214536904,3.728416661477932,6.225059128540225,"4.99 (3.73, 6.23)"
194,4.942693958075139,3.6713472876939566,6.195947167079238,"4.94 (3.67, 6.20)"
195,4.896992863900106,3.615759515617164,6.161378970510632,"4.90 (3.62, 6.16)"
196,4.851210270748905,3.5544730714598227,6.129012896303061,"4.85 (3.55, 6.13)"
197,4.805337517358635,3.4936072837055394,6.092839482261115,"4.81 (3.49, 6.09)"
198,4.759365942466398,3.4406651818978133,6.058182376486674,"4.76 (3.44, 6.06)"
199,4.713286884809297,3.3694414279912515,6.028154274606943,"4.71 (3.37, 6.03)"
200,4.667091683124427,3.3052869721113827,5.998224160743523,"4.67 (3.31, 6.00)"
201,4.620727171246669,3.2473709611477943,5.965011688747273,"4.62 (3.25, 5.97)"
202,4.573962163401996,3.1782075932815244,5.938028258832613,"4.57 (3.18, 5.94)"
203,4.526520968914156,3.1057277806869448,5.91325756873825,"4.53 (3.11, 5.91)"
204,4.478127897106899,3.038959468572776,5.883179992331605,"4.48 (3.04, 5.88)"
205,4.428507257303975,2.956629728649374,5.842337193360466,"4.43 (2.96, 5.84)"
206,4.377383358829134,2.883921801657798,5.812256076285942,"4.38 (2.88, 5.81)"
207,4.324480511006126,2.8056234023713564,5.780100783521061,"4.32 (2.81, 5.78)"
208,4.269523023158698,2.7235002130566963,5.750052137104545,"4.27 (2.72, 5.75)"
209,4.212235204610602,2.643609942280366,5.714396231593339,"4.21 (2.64, 5.71)"
210,4.152341364685586,2.558079085989131,5.6705396785201305,"4.15 (2.56, 5.67)"
211,4.089565812707401,2.4780714511926516,5.628544625601674,"4.09 (2.48, 5.63)"
212,4.023632857999797,2.386022297297431,5.580601452270345,"4.02 (2.39, 5.58)"
213,3.9542668098865215,2.2890555423287813,5.537538428963457,"3.95 (2.29, 5.54)"
214,3.8811919776913237,2.1950399435402246,5.487589981204616,"3.88 (2.20, 5.49)"
215,3.8041326707379564,2.085122741482098,5.437936725382912,"3.80 (2.09, 5.44)"
216,3.7228131983501647,1.961824280575727,5.391118764664836,"3.72 (1.96, 5.39)"
217,3.636957869851702,1.8409069983616693,5.331017911665999,"3.64 (1.84, 5.33)"
218,3.5462909945663164,1.7235874993636828,5.277165957116686,"3.55 (1.72, 5.28)"
219,3.4505368818177575,1.5698935432239467,5.217837698458348,"3.45 (1.57, 5.22)"
220,3.349419840929773,1.440391681353839,5.159533174096924,"3.35 (1.44, 5.16)"
221,3.2426641812261163,1.2777490673821266,5.098340592556234,"3.24 (1.28, 5.10)"
222,3.1299942120305335,1.0879077166180562,5.03515565593804,"3.13 (1.09, 5.04)"
223,3.011134242666776,0.8829004449415695,4.980763124570581,"3.01 (0.88, 4.98)"
224,2.885808582458593,0.6543293599782792,4.931095576052512,"2.89 (0.65, 4.93)"
