Pick,V,L,U,V_L_U
47,15.164272170283136,14.106823363020824,16.20418454795657,"15.16 (14.11, 16.20)"
48,15.049252375418906,14.004653460074174,16.07529686461472,"15.05 (14.00, 16.08)"
49,14.943283553845827,13.92062597727915,15.959281032355173,"14.94 (13.92, 15.96)"
50,14.841981187008772,13.832091302814787,15.845760618774221,"14.84 (13.83, 15.85)"
51,14.74169367649708,13.743640698844343,15.723243392286635,"14.74 (13.74, 15.72)"
52,14.641701104477951,13.660220578789955,15.609852898181133,"14.64 (13.66, 15.61)"
53,14.542016473263047,13.575458193421069,15.501067965966433,"14.54 (13.58, 15.50)"
54,14.442652785164025,13.485094094331817,15.39028459185144,"14.44 (13.49, 15.39)"
55,14.343623042492528,13.394803029549475,15.281112383545645,"14.34 (13.39, 15.28)"
56,14.244940247560233,13.30083433873213,15.168760141440176,"14.24 (13.30, 15.17)"
57,14.146617402678789,13.211577789487935,15.059973802993744,"14.15 (13.21, 15.06)"
58,14.048667510159863,13.119925685995105,14.949048221584336,"14.05 (13.12, 14.95)"
59,13.9511035723151,13.02914358019035,14.845871276790731,"13.95 (13.03, 14.85)"
60,13.85393859145616,12.941455320896718,14.737659004709702,"13.85 (12.94, 14.74)"
61,13.757185569894714,12.85253197829811,14.632522778476627,"13.76 (12.85, 14.63)"
62,13.660857509942412,12.769049928780857,14.528077567040656,"13.66 (12.77, 14.53)"
63,13.564967413910907,12.682474297926486,14.424891862068312,"13.56 (12.68, 14.42)"
64,13.469528284111865,12.589446682773886,14.325421980703647,"13.47 (12.59, 14.33)"
65,13.37455312285694,12.501866110211097,14.223021197653571,"13.37 (12.50, 14.22)"
66,13.280054932457789,12.416929787523195,14.122839508930118,"13.28 (12.42, 14.12)"
67,13.186046715226079,12.335124994904819,14.02296635328525,"13.19 (12.34, 14.02)"
68,13.092541473473455,12.249352480517734,13.92401427223013,"13.09 (12.25, 13.92)"
69,12.999552209511586,12.160119160309655,13.823499416452353,"13.00 (12.16, 13.82)"
70,12.907091925652127,12.074243724752254,13.724683174797562,"12.91 (12.07, 13.72)"
71,12.815173624206736,11.98650262589411,13.623671927470538,"12.82 (11.99, 13.62)"
72,12.72381030748707,11.901375891597308,13.53062085112942,"12.72 (11.90, 13.53)"
73,12.633014977804786,11.818738320510283,13.437097554168263,"12.63 (11.82, 13.44)"
74,12.542800637471549,11.733268806721421,13.338767452852835,"12.54 (11.73, 13.34)"
75,12.453180288799008,11.648507921673712,13.247806403563462,"12.45 (11.65, 13.25)"
76,12.364166934098826,11.56337359452856,13.161403213118051,"12.36 (11.56, 13.16)"
77,12.275773575682662,11.482665753202681,13.071863284519031,"12.28 (11.48, 13.07)"
78,12.188013215862172,11.40298776272652,12.979929628843358,"12.19 (11.40, 12.98)"
79,12.10089885694901,11.319268186177712,12.889070907534899,"12.10 (11.32, 12.89)"
80,12.014443501254847,11.236189287310552,12.797345994370021,"12.01 (11.24, 12.80)"
81,11.92866015109133,11.155529357084754,12.707231453527568,"11.93 (11.16, 12.71)"
82,11.843561808770119,11.071709747844569,12.619916761764252,"11.84 (11.07, 12.62)"
83,11.759161476602875,10.988846036101783,12.530496450037427,"11.76 (10.99, 12.53)"
84,11.67547215690126,10.91127780783207,12.44130128405331,"11.68 (10.91, 12.44)"
85,11.59250685197692,10.829870726573727,12.358261282440298,"11.59 (10.83, 12.36)"
86,11.51027856414152,10.748299449892441,12.276751276934839,"11.51 (10.75, 12.28)"
87,11.428800295706722,10.670161802110828,12.195443850026939,"11.43 (10.67, 12.20)"
88,11.348085048984178,10.590488090491922,12.110808446794708,"11.35 (10.59, 12.11)"
89,11.26814582628555,10.510532877392745,12.028322101155984,"11.27 (10.51, 12.03)"
90,11.188995629922495,10.429879827240734,11.946106816156126,"11.19 (10.43, 11.95)"
91,11.110647462206673,10.355084372554545,11.868043297330894,"11.11 (10.36, 11.87)"
92,11.033114325449738,10.280808220319885,11.79263425103027,"11.03 (10.28, 11.79)"
93,10.956409221963348,10.201331946060234,11.716316283539179,"10.96 (10.20, 11.72)"
94,10.880545154059169,10.125661589623823,11.637839311097178,"10.88 (10.13, 11.64)"
95,10.80553512404885,10.050328339490688,11.558489683721454,"10.81 (10.05, 11.56)"
96,10.731392134244052,9.978752291595505,11.480895442448587,"10.73 (9.98, 11.48)"
97,10.658129186956437,9.904005918868185,11.407337736424338,"10.66 (9.90, 11.41)"
98,10.585759284497659,9.832278832184286,11.335080984056125,"10.59 (9.83, 11.34)"
99,10.514295429179375,9.759766082959189,11.262533795305245,"10.51 (9.76, 11.26)"
100,10.44375062331325,9.689724749568766,11.19206046017881,"10.44 (9.69, 11.19)"
101,10.374133485394692,9.619506726014915,11.12227082903281,"10.37 (9.62, 11.12)"
102,10.305435098654145,9.55370855629479,11.054850909603473,"10.31 (9.55, 11.05)"
103,10.237642162505807,9.490769999139694,10.987412223249839,"10.24 (9.49, 10.99)"
104,10.170741376363866,9.42725386740997,10.915693448305083,"10.17 (9.43, 10.92)"
105,10.10471943964253,9.35913455008462,10.849233820777748,"10.10 (9.36, 10.85)"
106,10.039563051755993,9.29704636856302,10.781386006780943,"10.04 (9.30, 10.78)"
107,9.975258912118443,9.234757648472224,10.719353727723739,"9.98 (9.23, 10.72)"
108,9.911793720144086,9.170424765901313,10.654063765139078,"9.91 (9.17, 10.65)"
109,9.84915417524712,9.108575792811939,10.592680935572293,"9.85 (9.11, 10.59)"
110,9.787326976841733,9.048038550595562,10.532143393505853,"9.79 (9.05, 10.53)"
111,9.72629882434213,8.98808650475718,10.470955477699864,"9.73 (8.99, 10.47)"
112,9.666056417162505,8.92676346564541,10.40756687137673,"9.67 (8.93, 10.41)"
113,9.606586454717052,8.867547216394614,10.342432737211416,"9.61 (8.87, 10.34)"
114,9.547875636419972,8.80771085534286,10.288312054879995,"9.55 (8.81, 10.29)"
115,9.489910661685464,8.752598733215104,10.229990896758197,"9.49 (8.75, 10.23)"
116,9.432678229927715,8.694576500508377,10.172465483920979,"9.43 (8.69, 10.17)"
117,9.376165040560933,8.638001198967013,10.115967375304594,"9.38 (8.64, 10.12)"
118,9.320357792999307,8.58622840665453,10.059818974529616,"9.32 (8.59, 10.06)"
119,9.265243186657033,8.531539613527986,10.00273766289606,"9.27 (8.53, 10.00)"
120,9.210807920948316,8.481359994703313,9.949620442354293,"9.21 (8.48, 9.95)"
121,9.157038695287348,8.43119157947368,9.89656022582268,"9.16 (8.43, 9.90)"
122,9.103922209088328,8.377544097684998,9.843750260881757,"9.10 (8.38, 9.84)"
123,9.051445161765447,8.327775381165011,9.7879215291098,"9.05 (8.33, 9.79)"
124,8.999594252732905,8.279559513642054,9.739496522966578,"9.00 (8.28, 9.74)"
125,8.948356181404902,8.230320385354627,9.687909302814349,"8.95 (8.23, 9.69)"
126,8.897717647195629,8.179101409122332,9.634692189322934,"8.90 (8.18, 9.63)"
127,8.847665349519293,8.131187343343855,9.585769414469638,"8.85 (8.13, 9.59)"
128,8.79818598779008,8.082859482826478,9.53758329136383,"8.80 (8.08, 9.54)"
129,8.749266261422186,8.033513162857876,9.488267072669704,"8.75 (8.03, 9.49)"
130,8.700892869829817,7.982576870451323,9.443498573669565,"8.70 (7.98, 9.44)"
131,8.653052512427166,7.9337502635917625,9.395301561897497,"8.65 (7.93, 9.40)"
132,8.60573188862843,7.884972664810652,9.34757453080339,"8.61 (7.88, 9.35)"
133,8.558917697847802,7.837252191602376,9.30217318282632,"8.56 (7.84, 9.30)"
134,8.512596639499481,7.79062398012201,9.255687243110852,"8.51 (7.79, 9.26)"
135,8.466755412997669,7.740783240172569,9.211983154628859,"8.47 (7.74, 9.21)"
136,8.421380717756556,7.694234063216286,9.17160735184461,"8.42 (7.69, 9.17)"
137,8.37645925319034,7.6453789163111106,9.129846975345227,"8.38 (7.65, 9.13)"
138,8.331977718713219,7.5984772379760965,9.087303215045154,"8.33 (7.60, 9.09)"
139,8.28792281373939,7.550595985724,9.046867736624552,"8.29 (7.55, 9.05)"
140,8.244281237683051,7.504979432306561,9.004943132488032,"8.24 (7.50, 9.00)"
141,8.201039689958398,7.458871357770955,8.961281864214879,"8.20 (7.46, 8.96)"
142,8.158184869979625,7.415207118280196,8.92101763874879,"8.16 (7.42, 8.92)"
143,8.115703477160933,7.370006935363371,8.878404944842552,"8.12 (7.37, 8.88)"
144,8.073582210916516,7.328572523032426,8.834729888740652,"8.07 (7.33, 8.83)"
145,8.031807770660572,7.2856476018550085,8.795076440641681,"8.03 (7.29, 8.80)"
146,7.990366855807297,7.245205899727306,8.75358472794243,"7.99 (7.25, 8.75)"
147,7.949246165770888,7.202816925476148,8.712236069177326,"7.95 (7.20, 8.71)"
148,7.908432399965543,7.159585791074158,8.67392668510789,"7.91 (7.16, 8.67)"
149,7.867912257805458,7.1179644429851,8.632429966090065,"7.87 (7.12, 8.63)"
150,7.827672438704831,7.079199182137912,8.591465051090031,"7.83 (7.08, 8.59)"
151,7.78770074661954,7.036661819069815,8.55250580472577,"7.79 (7.04, 8.55)"
152,7.747989403672215,6.999274289146666,8.51498735054839,"7.75 (7.00, 8.51)"
153,7.70853173652716,6.958732251327589,8.475975386195273,"7.71 (6.96, 8.48)"
154,7.669321071848683,6.919172974579474,8.437913211777046,"7.67 (6.92, 8.44)"
155,7.6303507363010965,6.880929809411556,8.399222972553472,"7.63 (6.88, 8.40)"
156,7.5916140565487025,6.8422828974818,8.360944150914978,"7.59 (6.84, 8.36)"
157,7.553104359255819,6.8038913186431165,8.32281623579593,"7.55 (6.80, 8.32)"
158,7.51481497108675,6.762862413566981,8.287766411335156,"7.51 (6.76, 8.29)"
159,7.476739218705805,6.724051076714891,8.250098622300046,"7.48 (6.72, 8.25)"
160,7.438870428777289,6.681162626683311,8.215149997941639,"7.44 (6.68, 8.22)"
161,7.401201927965517,6.643223794416174,8.179226227224113,"7.40 (6.64, 8.18)"
162,7.363727042934789,6.602357321136107,8.146397375977081,"7.36 (6.60, 8.15)"
163,7.326439100349424,6.55783728355872,8.109828946839851,"7.33 (6.56, 8.11)"
164,7.289331426873723,6.519106314660177,8.076454283997995,"7.29 (6.52, 8.08)"
165,7.252397349171997,6.478946418307399,8.043492849825872,"7.25 (6.48, 8.04)"
166,7.215630193908558,6.435993035349126,8.012055436548513,"7.22 (6.44, 8.01)"
167,7.179023287747708,6.397059002358499,7.9808814154924566,"7.18 (6.40, 7.98)"
168,7.142569957353764,6.361770191627632,7.952392718685544,"7.14 (6.36, 7.95)"
169,7.1062635293910255,6.314793914150983,7.917920251976573,"7.11 (6.31, 7.92)"
170,7.070097330523813,6.272063324660623,7.885406992350998,"7.07 (6.27, 7.89)"
171,7.03406468741642,6.233041516596989,7.851487156609507,"7.03 (6.23, 7.85)"
172,6.998158926733169,6.192529557813097,7.822624389000811,"7.00 (6.19, 7.82)"
173,6.96237337513836,6.160910895082392,7.791500486212935,"6.96 (6.16, 7.79)"
174,6.926701359296305,6.112647720586843,7.758585385088488,"6.93 (6.11, 7.76)"
175,6.891136205871317,6.06846774596356,7.727691924598793,"6.89 (6.07, 7.73)"
176,6.855671241527696,6.02417750353626,7.6978538883528,"6.86 (6.02, 7.70)"
177,6.820299792929755,5.986144410842144,7.665461951882208,"6.82 (5.99, 7.67)"
178,6.785015186741803,5.939128699486217,7.632926705989186,"6.79 (5.94, 7.63)"
179,6.749810749628148,5.896583744262844,7.60056711311511,"6.75 (5.90, 7.60)"
180,6.7146798082531,5.848753044406,7.571762717666571,"6.71 (5.85, 7.57)"
181,6.679615689280965,5.809961503486034,7.544966240188369,"6.68 (5.81, 7.54)"
182,6.644611719376054,5.769685314958294,7.519423008382273,"6.64 (5.77, 7.52)"
183,6.609661225202677,5.725345194798801,7.490453042430575,"6.61 (5.73, 7.49)"
184,6.57475753342514,5.681180892757145,7.465229713759204,"6.57 (5.68, 7.47)"
185,6.539893970707751,5.636161978391328,7.437275269849934,"6.54 (5.64, 7.44)"
186,6.505063863714821,5.592266469418688,7.411140931699371,"6.51 (5.59, 7.41)"
187,6.470260539110658,5.546464664518503,7.3812374795728894,"6.47 (5.55, 7.38)"
188,6.435477323559572,5.505269792468898,7.35471355979994,"6.44 (5.51, 7.35)"
189,6.400707543725868,5.456128471113713,7.329694156887359,"6.40 (5.46, 7.33)"
190,6.365944526273857,5.414442332897679,7.305641295060931,"6.37 (5.41, 7.31)"
191,6.33118159786785,5.36876131962584,7.27567042248075,"6.33 (5.37, 7.28)"
192,6.296412085172152,5.325399885500425,7.249671872963603,"6.30 (5.33, 7.25)"
193,6.261629314851071,5.281994358520109,7.223663152814369,"6.26 (5.28, 7.22)"
194,6.22682661356892,5.233724791211747,7.196709939577969,"6.23 (5.23, 7.20)"
195,6.1919973079900075,5.185526431197637,7.170999010159511,"6.19 (5.19, 7.17)"
196,6.157134724778639,5.1403688389056645,7.145665147040725,"6.16 (5.14, 7.15)"
197,6.1222321905991235,5.089286083359071,7.122563708223888,"6.12 (5.09, 7.12)"
198,6.087283032115769,5.03996689497509,7.0990964698885275,"6.09 (5.04, 7.10)"
199,6.052280575992888,4.993923997113773,7.072707185432374,"6.05 (4.99, 7.07)"
200,6.017218148894786,4.945527882729036,7.045984394331505,"6.02 (4.95, 7.05)"
201,5.982049975866901,4.900923928879596,7.018330093887296,"5.98 (4.90, 7.02)"
202,5.946573875479178,4.851348411629258,6.999203305346485,"5.95 (4.85, 7.00)"
203,5.910548564682694,4.806367338716632,6.970855918660716,"5.91 (4.81, 6.97)"
204,5.873732760428519,4.7499779676607625,6.945352412065422,"5.87 (4.75, 6.95)"
205,5.835885179667731,4.697758683685794,6.922263281214293,"5.84 (4.70, 6.92)"
206,5.7967645393514,4.641702690348575,6.897382475808097,"5.80 (4.64, 6.90)"
207,5.756129556430603,4.584305756375297,6.872840519513843,"5.76 (4.58, 6.87)"
208,5.713738947856414,4.521284920058304,6.836564045625622,"5.71 (4.52, 6.84)"
209,5.669351430579906,4.457624122481064,6.810658433362607,"5.67 (4.46, 6.81)"
210,5.622725721552152,4.388297847582499,6.7737540870781165,"5.62 (4.39, 6.77)"
211,5.573620537724231,4.313459036536002,6.739563498379485,"5.57 (4.31, 6.74)"
212,5.5217945960472115,4.23822372798509,6.706133766770147,"5.52 (4.24, 6.71)"
213,5.467006613472171,4.165762406982976,6.663278108719145,"5.47 (4.17, 6.66)"
214,5.409015306950182,4.0765826167455295,6.62588411378349,"5.41 (4.08, 6.63)"
215,5.34757939343232,3.994391841218115,6.580799575572711,"5.35 (3.99, 6.58)"
216,5.282457589869655,3.8981835792749364,6.540880129243634,"5.28 (3.90, 6.54)"
217,5.213408613213267,3.789171062355307,6.496915739261508,"5.21 (3.79, 6.50)"
218,5.140191180414226,3.6846411743257264,6.456407776640127,"5.14 (3.68, 6.46)"
219,5.0625640084236085,3.5697873466046453,6.4215194193943175,"5.06 (3.57, 6.42)"
220,4.980285814192486,3.437355929628738,6.375616189138691,"4.98 (3.44, 6.38)"
221,4.8931153146719355,3.304037482291148,6.32996127518776,"4.89 (3.30, 6.33)"
222,4.800811226813029,3.137075387384696,6.2830947040368885,"4.80 (3.14, 6.28)"
223,4.703132267566842,2.9529944719643995,6.233962343290107,"4.70 (2.95, 6.23)"
224,4.599837153884448,2.7685699260951884,6.180373072600387,"4.60 (2.77, 6.18)"
