Pick,V,L,U,V_L_U
56,12.262009085940877,11.196507970158326,13.29923119293757,"12.26 (11.20, 13.30)"
57,12.161222777757333,11.10412625656603,13.190075763335308,"12.16 (11.10, 13.19)"
58,12.06074614659208,11.017374423067274,13.082910977689496,"12.06 (11.02, 13.08)"
59,11.96059597281758,10.923091751616008,12.970258245053085,"11.96 (10.92, 12.97)"
60,11.860789036806308,10.836092921429309,12.863726397473446,"11.86 (10.84, 12.86)"
61,11.761342118930717,10.745506145094778,12.755913873536443,"11.76 (10.75, 12.76)"
62,11.662271999563282,10.652019549303347,12.64836700767028,"11.66 (10.65, 12.65)"
63,11.563595459076467,10.556681636638967,12.543771008511433,"11.56 (10.56, 12.54)"
64,11.46532927784274,10.469251123929732,12.433636059142506,"11.47 (10.47, 12.43)"
65,11.36749023623456,10.37820571285882,12.327699192578548,"11.37 (10.38, 12.33)"
66,11.270095114624397,10.288111424196611,12.218469171366534,"11.27 (10.29, 12.22)"
67,11.173160693384721,10.20101256157549,12.115399889549273,"11.17 (10.20, 12.12)"
68,11.07670375288799,10.109403729916464,12.010866831460758,"11.08 (10.11, 12.01)"
69,10.980741073506676,10.021297398371287,11.910335635290691,"10.98 (10.02, 11.91)"
70,10.885289435613247,9.934885614200176,11.809508996213207,"10.89 (9.93, 11.81)"
71,10.79036561958016,9.847517138239695,11.707246070303357,"10.79 (9.85, 11.71)"
72,10.69598640577989,9.760935229682785,11.605385288324829,"10.70 (9.76, 11.61)"
73,10.602168574584894,9.670768198085309,11.505485088902061,"10.60 (9.67, 11.51)"
74,10.50892890636765,9.582758226889887,11.40644698352125,"10.51 (9.58, 11.41)"
75,10.416284181500613,9.491671371848412,11.309485241852546,"10.42 (9.49, 11.31)"
76,10.324251180356253,9.40493782158849,11.21120127434208,"10.32 (9.40, 11.21)"
77,10.232846683307038,9.322820978176296,11.117753290629729,"10.23 (9.32, 11.12)"
78,10.142087470725428,9.235010485357938,11.020076667208304,"10.14 (9.24, 11.02)"
79,10.051990322983894,9.150012390395514,10.92483610920901,"10.05 (9.15, 10.92)"
80,9.9625720204549,9.065406009550848,10.829891877889173,"9.96 (9.07, 10.83)"
81,9.873849343510914,8.978572586584038,10.741816576263886,"9.87 (8.98, 10.74)"
82,9.785839072524402,8.89465111341308,10.653640241847302,"9.79 (8.89, 10.65)"
83,9.698557987867828,8.811080607412261,10.57133770592506,"9.70 (8.81, 10.57)"
84,9.612022869913659,8.725531655290107,10.478181393830793,"9.61 (8.73, 10.48)"
85,9.526250499034358,8.641895148563444,10.389556502949128,"9.53 (8.64, 10.39)"
86,9.441257655602396,8.556519349790536,10.301715732546448,"9.44 (8.56, 10.30)"
87,9.357061119990234,8.47415890339995,10.217574079109033,"9.36 (8.47, 10.22)"
88,9.273677672570345,8.395249986490875,10.134948138611206,"9.27 (8.40, 10.13)"
89,9.191124093715189,8.316849918230655,10.05572145961905,"9.19 (8.32, 10.06)"
90,9.10941716379723,8.239841932053885,9.973801573896518,"9.11 (8.24, 9.97)"
91,9.02857366318894,8.158741317409957,9.892214937700938,"9.03 (8.16, 9.89)"
92,8.948610372262783,8.082616742573942,9.814215088611535,"8.95 (8.08, 9.81)"
93,8.869544071391223,8.00772223788607,9.737685802136554,"8.87 (8.01, 9.74)"
94,8.791391540946728,7.93183300612643,9.663626204574241,"8.79 (7.93, 9.66)"
95,8.714169561301762,7.85606273413209,9.583881630007777,"8.71 (7.86, 9.58)"
96,8.637894912828791,7.779487784794968,9.507929691648755,"8.64 (7.78, 9.51)"
97,8.562584375900286,7.705688936311519,9.429797582285266,"8.56 (7.71, 9.43)"
98,8.488254730888704,7.633446454924698,9.350113850246935,"8.49 (7.63, 9.35)"
99,8.41492275816652,7.557251398008789,9.276698284868553,"8.41 (7.56, 9.28)"
100,8.342605238106197,7.488448364111637,9.20373280711013,"8.34 (7.49, 9.20)"
101,8.271313387052288,7.4169816868056015,9.132165921674206,"8.27 (7.42, 9.13)"
102,8.201036165237728,7.349834108872487,9.06229605317217,"8.20 (7.35, 9.06)"
103,8.131756968867526,7.282650072620643,8.992481831380644,"8.13 (7.28, 8.99)"
104,8.063459194146704,7.211686405150604,8.92281594988235,"8.06 (7.21, 8.92)"
105,7.996126237280279,7.145599246486766,8.854799954055673,"8.00 (7.15, 8.85)"
106,7.929741494473271,7.079187824870797,8.786490109635741,"7.93 (7.08, 8.79)"
107,7.864288361930697,7.016064314962977,8.72189346897798,"7.86 (7.02, 8.72)"
108,7.799750235857572,6.952277150338493,8.660294822620134,"7.80 (6.95, 8.66)"
109,7.736110512458918,6.888153153579542,8.595905029239931,"7.74 (6.89, 8.60)"
110,7.673352587939751,6.832266576414259,8.532567152358217,"7.67 (6.83, 8.53)"
111,7.611459858505088,6.775202740028162,8.4682269692074,"7.61 (6.78, 8.47)"
112,7.5504157203599505,6.712144098096552,8.40531949749903,"7.55 (6.71, 8.41)"
113,7.49020356970935,6.655162189750782,8.34208826219959,"7.49 (6.66, 8.34)"
114,7.430806802758312,6.598756943617885,8.280905056089619,"7.43 (6.60, 8.28)"
115,7.37220881571185,6.541290462718201,8.221268984495815,"7.37 (6.54, 8.22)"
116,7.314393004774978,6.483278561703702,8.157959085837607,"7.31 (6.48, 8.16)"
117,7.257342766152723,6.4274287445429605,8.099466596794844,"7.26 (6.43, 8.10)"
118,7.201041496050097,6.374067585651506,8.041486614818274,"7.20 (6.37, 8.04)"
119,7.145472590672119,6.316936100259141,7.983000063793092,"7.15 (6.32, 7.98)"
120,7.0906194462238075,6.263517265801975,7.921010269695903,"7.09 (6.26, 7.92)"
121,7.036465458910179,6.2106173164384755,7.8637273410604545,"7.04 (6.21, 7.86)"
122,6.982994024936257,6.157922570021581,7.810063801945902,"6.98 (6.16, 7.81)"
123,6.93018854050705,6.11081345440614,7.757356721830457,"6.93 (6.11, 7.76)"
124,6.878032401827583,6.061221617240428,7.702397006805346,"6.88 (6.06, 7.70)"
125,6.826509005102872,6.010966493541173,7.646010737866772,"6.83 (6.01, 7.65)"
126,6.775601746537934,5.960432336347144,7.596564826624584,"6.78 (5.96, 7.60)"
127,6.725294022337787,5.910567809208728,7.549598782709083,"6.73 (5.91, 7.55)"
128,6.675569228707452,5.8630117527182835,7.499420791692592,"6.68 (5.86, 7.50)"
129,6.626410761851939,5.814841356102724,7.452222316207346,"6.63 (5.81, 7.45)"
130,6.577802017976276,5.764704435494249,7.40371664850969,"6.58 (5.76, 7.40)"
131,6.529726393285476,5.7150694632818295,7.354932054948246,"6.53 (5.72, 7.35)"
132,6.4821672839845546,5.668334139052487,7.311449043586804,"6.48 (5.67, 7.31)"
133,6.435108086278534,5.617061506799447,7.261275674161185,"6.44 (5.62, 7.26)"
134,6.38853219637243,5.571612403927832,7.213820840786041,"6.39 (5.57, 7.21)"
135,6.342423010471262,5.524578114297178,7.16649502816854,"6.34 (5.52, 7.17)"
136,6.296763924780042,5.4778264231213845,7.121504921866307,"6.30 (5.48, 7.12)"
137,6.251538335503798,5.427812112985247,7.078088601615628,"6.25 (5.43, 7.08)"
138,6.20672963884754,5.382874027837899,7.033609259911024,"6.21 (5.38, 7.03)"
139,6.162321231016289,5.3358778216520015,6.988892065934726,"6.16 (5.34, 6.99)"
140,6.118296508215063,5.292357150694694,6.941981524059428,"6.12 (5.29, 6.94)"
141,6.074638866648877,5.244714464088188,6.903122729254688,"6.07 (5.24, 6.90)"
142,6.0313317025227535,5.200872744099492,6.862715424970869,"6.03 (5.20, 6.86)"
143,5.988358412041708,5.156976018678924,6.818867797071648,"5.99 (5.16, 6.82)"
144,5.945702391410757,5.116544141557275,6.781430028373746,"5.95 (5.12, 6.78)"
145,5.90334703683492,5.070793127122538,6.747551865823726,"5.90 (5.07, 6.75)"
146,5.861275744519214,5.025228762042005,6.705804433337812,"5.86 (5.03, 6.71)"
147,5.81947191066866,4.983387122197404,6.6656670990014595,"5.82 (4.98, 6.67)"
148,5.777918931488272,4.93865074356741,6.6246460960856695,"5.78 (4.94, 6.62)"
149,5.7366002031830705,4.893827080422472,6.587226452321428,"5.74 (4.89, 6.59)"
150,5.695499121958072,4.850928912418132,6.55110581425626,"5.70 (4.85, 6.55)"
151,5.654600603577154,4.809125281398441,6.50780294406934,"5.65 (4.81, 6.51)"
152,5.613895642039641,4.768348866895383,6.466012912480211,"5.61 (4.77, 6.47)"
153,5.57337675090371,4.731194426508759,6.4269344664152115,"5.57 (4.73, 6.43)"
154,5.533036443727546,4.690756442355798,6.385385071859092,"5.53 (4.69, 6.39)"
155,5.492867234069329,4.647690874929788,6.34626105472313,"5.49 (4.65, 6.35)"
156,5.452861635487236,4.605302536075584,6.308076558992131,"5.45 (4.61, 6.31)"
157,5.413012161539455,4.561250079023403,6.266645759326121,"5.41 (4.56, 6.27)"
158,5.373311325784164,4.515999252367414,6.228705092223916,"5.37 (4.52, 6.23)"
159,5.333751641779545,4.476347629253386,6.191737797724213,"5.33 (4.48, 6.19)"
160,5.294325623083779,4.434824620453521,6.15590434968886,"5.29 (4.43, 6.16)"
161,5.255025783255047,4.39472935018147,6.116054780227473,"5.26 (4.39, 6.12)"
162,5.21584463585153,4.35365187159386,6.079984967130923,"5.22 (4.35, 6.08)"
163,5.176774694431411,4.316930818489031,6.0468356379710935,"5.18 (4.32, 6.05)"
164,5.13780847255287,4.279094425298136,6.010014163709079,"5.14 (4.28, 6.01)"
165,5.098938483774088,4.231520043054833,5.974858043715835,"5.10 (4.23, 5.97)"
166,5.060157241653249,4.183207796257941,5.939551310073152,"5.06 (4.18, 5.94)"
167,5.021457259748529,4.1387921555576614,5.903459353427348,"5.02 (4.14, 5.90)"
168,4.982831051618115,4.097957814052595,5.866749598822901,"4.98 (4.10, 5.87)"
169,4.9442711308201845,4.052526155379309,5.833453014586365,"4.94 (4.05, 5.83)"
170,4.905770010912921,4.009595133933731,5.7993584589798495,"4.91 (4.01, 5.80)"
171,4.8673202054545035,3.9620874368839307,5.765066528560008,"4.87 (3.96, 5.77)"
172,4.828914228003117,3.920127801206552,5.728697222252979,"4.83 (3.92, 5.73)"
173,4.790544592116937,3.882564455375717,5.69757780534388,"4.79 (3.88, 5.70)"
174,4.752203811354151,3.8407845742427176,5.666513600400577,"4.75 (3.84, 5.67)"
175,4.713884399272938,3.797111514174945,5.6338930713760975,"4.71 (3.80, 5.63)"
176,4.675578869431476,3.750826575838741,5.605322613820372,"4.68 (3.75, 5.61)"
177,4.637279735387952,3.705952566993043,5.574162575857506,"4.64 (3.71, 5.57)"
178,4.598979510700544,3.664171600576129,5.541011910339837,"4.60 (3.66, 5.54)"
179,4.560670708927431,3.6184889882614635,5.511143358140181,"4.56 (3.62, 5.51)"
180,4.522345843626801,3.571042507789198,5.483881119385208,"4.52 (3.57, 5.48)"
181,4.48399742835683,3.527433010967069,5.45025201131226,"4.48 (3.53, 5.45)"
182,4.4456179766757,3.4767824306231927,5.4182676185265315,"4.45 (3.48, 5.42)"
183,4.407200002141594,3.4283723657604424,5.387184373186118,"4.41 (3.43, 5.39)"
184,4.368736018312693,3.380140779682769,5.353950616909191,"4.37 (3.38, 5.35)"
185,4.330218538747176,3.3297462026005546,5.325069882526272,"4.33 (3.33, 5.33)"
186,4.291640077003226,3.280873868580964,5.295959569276744,"4.29 (3.28, 5.30)"
187,4.2529931466390245,3.229891715413242,5.26516743442641,"4.25 (3.23, 5.27)"
188,4.214270261212754,3.181547660744762,5.237271812692116,"4.21 (3.18, 5.24)"
189,4.175463934282592,3.133631208428861,5.2059277795358625,"4.18 (3.13, 5.21)"
190,4.136566679406724,3.085548999956271,5.175185357635334,"4.14 (3.09, 5.18)"
191,4.097571010143331,3.0338673980254733,5.1437121779189106,"4.10 (3.03, 5.14)"
192,4.058469440050589,2.9845879911012014,5.112135936158514,"4.06 (2.98, 5.11)"
193,4.019254482686684,2.935435390868737,5.079280003647865,"4.02 (2.94, 5.08)"
194,3.9799186516097973,2.8872541864856633,5.049798746375597,"3.98 (2.89, 5.05)"
195,3.9404544603781098,2.8325956542261745,5.020324483496903,"3.94 (2.83, 5.02)"
196,3.900854422549801,2.7847027821892665,4.9875352035773926,"3.90 (2.78, 4.99)"
197,3.8611110516830545,2.729751267136131,4.958166424970178,"3.86 (2.73, 4.96)"
198,3.8212168613360498,2.672516407805834,4.9283528676501005,"3.82 (2.67, 4.93)"
199,3.781164365066971,2.6121825655583177,4.901790335290589,"3.78 (2.61, 4.90)"
200,3.7409460764339943,2.5516671110035314,4.873132369185779,"3.74 (2.55, 4.87)"
201,3.70051421593817,2.494791943939238,4.846906990791151,"3.70 (2.49, 4.85)"
202,3.6596598318520024,2.439663153278795,4.823504546904745,"3.66 (2.44, 4.82)"
203,3.6181336793908625,2.388047219573705,4.798848930037129,"3.62 (2.39, 4.80)"
204,3.575686513770118,2.3170665451433217,4.770978092931753,"3.58 (2.32, 4.77)"
205,3.5320690902051415,2.2551509927031668,4.740504400571682,"3.53 (2.26, 4.74)"
206,3.487032163911301,2.1896127816291227,4.711114531692543,"3.49 (2.19, 4.71)"
207,3.4403264901039687,2.1240568077606405,4.679064061945902,"3.44 (2.12, 4.68)"
208,3.3917028239985116,2.056816237380002,4.64815658218437,"3.39 (2.06, 4.65)"
209,3.340911920810303,1.9728031651112092,4.614318316521367,"3.34 (1.97, 4.61)"
210,3.2877045357547097,1.8960189420739384,4.580715849565086,"3.29 (1.90, 4.58)"
211,3.2318314240471047,1.8342482099201618,4.538235200454234,"3.23 (1.83, 4.54)"
212,3.173043340902858,1.764086613137889,4.496060799374624,"3.17 (1.76, 4.50)"
213,3.1110910415373376,1.6909071251710066,4.452614467897174,"3.11 (1.69, 4.45)"
214,3.0457252811659146,1.5965039185234216,4.408351565403006,"3.05 (1.60, 4.41)"
215,2.97669681500396,1.5111701582782258,4.36378876353364,"2.98 (1.51, 4.36)"
216,2.9037563982668417,1.4052586812374548,4.315985903975059,"2.90 (1.41, 4.32)"
217,2.826654786169932,1.3111748975053683,4.272399606255096,"2.83 (1.31, 4.27)"
218,2.7451427339286,1.1966659568594717,4.21723812409007,"2.75 (1.20, 4.22)"
219,2.658970996758215,1.0594587593206495,4.167868936792119,"2.66 (1.06, 4.17)"
220,2.567890329874149,0.9164567171709234,4.12094700213858,"2.57 (0.92, 4.12)"
221,2.47165148849177,0.7530044416263084,4.065590807138167,"2.47 (0.75, 4.07)"
222,2.3700052278264496,0.5674450109350636,4.006460406230631,"2.37 (0.57, 4.01)"
223,2.262702303093558,0.33298057431202394,3.94548731251827,"2.26 (0.33, 3.95)"
224,2.1494934695084638,0.07312536968447096,3.8961761597958646,"2.15 (0.07, 3.90)"
